,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"control_contribution_original_scale[2022-11-27T00:00:00.000000000, pages_per_session]",7144.483,1141.691,4894.586,9304.395,20.586,14.874,3056.213,1420.742,1.002
"control_contribution_original_scale[2022-11-27T00:00:00.000000000, nps_score]",7140.565,1757.496,3981.526,10498.949,33.106,23.926,2774.916,1321.958,1.0
"control_contribution_original_scale[2022-11-27T00:00:00.000000000, conversion_rate]",3544.159,1620.779,492.605,6605.905,30.549,24.352,2817.533,1343.844,1.0
"control_contribution_original_scale[2022-12-04T00:00:00.000000000, bounce_rate]",-11242.045,2035.489,-15274.173,-7519.776,43.475,30.774,2184.209,1572.564,1.0
"control_contribution_original_scale[2022-12-04T00:00:00.000000000, session_duration]",8974.73,1841.816,5582.493,12523.667,37.357,27.316,2440.026,1349.841,1.001
"control_contribution_original_scale[2022-12-04T00:00:00.000000000, pages_per_session]",6310.496,1008.42,4323.233,8218.279,18.183,13.138,3056.213,1420.742,1.002
"control_contribution_original_scale[2022-12-04T00:00:00.000000000, nps_score]",4483.338,1103.477,2499.876,6591.963,20.786,15.022,2774.916,1321.958,1.0
"control_contribution_original_scale[2022-12-04T00:00:00.000000000, conversion_rate]",2153.956,985.025,299.38,4014.727,18.566,14.8,2817.533,1343.844,1.0
"control_contribution_original_scale[2022-12-11T00:00:00.000000000, bounce_rate]",-13195.598,2389.2,-17928.397,-8826.502,51.03,36.121,2184.209,1572.564,1.0
"control_contribution_original_scale[2022-12-11T00:00:00.000000000, session_duration]",3655.236,750.137,2273.643,5100.65,15.215,11.125,2440.026,1349.841,1.001
"control_contribution_original_scale[2022-12-11T00:00:00.000000000, pages_per_session]",12954.587,2070.148,8875.008,16871.003,37.328,26.971,3056.213,1420.742,1.002
"control_contribution_original_scale[2022-12-11T00:00:00.000000000, nps_score]",6765.978,1665.299,3772.659,9948.184,31.37,22.671,2774.916,1321.958,1.0
"control_contribution_original_scale[2022-12-11T00:00:00.000000000, conversion_rate]",1167.084,533.719,162.214,2175.31,10.06,8.019,2817.533,1343.844,1.0
"control_contribution_original_scale[2022-12-18T00:00:00.000000000, bounce_rate]",-13226.855,2394.86,-17970.864,-8847.41,51.151,36.207,2184.209,1572.564,1.0
"control_contribution_original_scale[2022-12-18T00:00:00.000000000, session_duration]",7640.016,1567.903,4752.269,10661.158,31.802,23.254,2440.026,1349.841,1.001
"control_contribution_original_scale[2022-12-18T00:00:00.000000000, pages_per_session]",5671.107,906.245,3885.197,7385.59,16.341,11.807,3056.213,1420.742,1.002
"control_contribution_original_scale[2022-12-18T00:00:00.000000000, nps_score]",3207.401,789.432,1788.423,4715.921,14.871,10.747,2774.916,1321.958,1.0
"control_contribution_original_scale[2022-12-18T00:00:00.000000000, conversion_rate]",2437.146,1114.531,338.741,4542.56,21.007,16.746,2817.533,1343.844,1.0
"control_contribution_original_scale[2022-12-25T00:00:00.000000000, bounce_rate]",-12679.86,2295.821,-17227.682,-8481.527,49.035,34.709,2184.209,1572.564,1.0
"control_contribution_original_scale[2022-12-25T00:00:00.000000000, session_duration]",5396.132,1107.407,3356.521,7529.96,22.461,16.424,2440.026,1349.841,1.001
"control_contribution_original_scale[2022-12-25T00:00:00.000000000, pages_per_session]",14900.555,2381.115,10208.163,19405.274,42.935,31.022,3056.213,1420.742,1.002
"control_contribution_original_scale[2022-12-25T00:00:00.000000000, nps_score]",4167.281,1025.686,2323.645,6127.255,19.321,13.963,2774.916,1321.958,1.0
"control_contribution_original_scale[2022-12-25T00:00:00.000000000, conversion_rate]",2145.375,981.101,298.187,3998.732,18.492,14.741,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-01-01T00:00:00.000000000, bounce_rate]",-12987.219,2351.471,-17645.279,-8687.118,50.224,35.551,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-01-01T00:00:00.000000000, session_duration]",7775.544,1595.716,4836.571,10850.28,32.366,23.666,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-01-01T00:00:00.000000000, pages_per_session]",11342.214,1812.49,7770.393,14771.179,32.682,23.614,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-01-01T00:00:00.000000000, nps_score]",2938.167,723.166,1638.3,4320.059,13.622,9.845,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-01-01T00:00:00.000000000, conversion_rate]",1184.247,541.568,164.599,2207.3,10.208,8.137,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-01-08T00:00:00.000000000, bounce_rate]",-9754.741,1766.197,-13253.424,-6524.921,37.723,26.702,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-01-08T00:00:00.000000000, session_duration]",7864.283,1613.928,4891.769,10974.109,32.735,23.936,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-01-08T00:00:00.000000000, pages_per_session]",11231.016,1794.721,7694.213,14626.364,32.361,23.382,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-01-08T00:00:00.000000000, nps_score]",5021.807,1236.009,2800.122,7383.687,23.283,16.826,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-01-08T00:00:00.000000000, conversion_rate]",2943.454,1346.071,409.113,5486.26,25.371,20.225,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-01-15T00:00:00.000000000, bounce_rate]",-12395.944,2244.415,-16841.934,-8291.616,47.937,33.932,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-01-15T00:00:00.000000000, session_duration]",7120.49,1461.285,4429.112,9936.193,29.639,21.672,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-01-15T00:00:00.000000000, pages_per_session]",11008.619,1759.182,7541.852,14336.733,31.72,22.919,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-01-15T00:00:00.000000000, nps_score]",6016.804,1480.906,3354.925,8846.655,27.896,20.16,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-01-15T00:00:00.000000000, conversion_rate]",2891.965,1322.524,401.957,5390.291,24.927,19.871,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-01-22T00:00:00.000000000, bounce_rate]",-14323.449,2593.41,-19460.768,-9580.919,55.391,39.209,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-01-22T00:00:00.000000000, session_duration]",8562.9,1757.3,5326.325,11948.985,35.643,26.062,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-01-22T00:00:00.000000000, pages_per_session]",9173.849,1465.985,6284.877,11947.277,26.434,19.099,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-01-22T00:00:00.000000000, nps_score]",5021.807,1236.009,2800.122,7383.687,23.283,16.826,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-01-22T00:00:00.000000000, conversion_rate]",3526.996,1612.93,490.22,6573.915,30.401,24.234,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-01-29T00:00:00.000000000, bounce_rate]",-12744.979,2307.611,-17316.156,-8525.084,49.287,34.888,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-01-29T00:00:00.000000000, session_duration]",5250.519,1077.525,3265.946,7326.767,21.855,15.981,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-01-29T00:00:00.000000000, pages_per_session]",10591.626,1692.546,7256.176,13793.675,30.519,22.051,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-01-29T00:00:00.000000000, nps_score]",6637.214,1633.607,3700.861,9758.859,30.773,22.239,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-01-29T00:00:00.000000000, conversion_rate]",1973.745,902.613,274.332,3678.833,17.013,13.562,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-02-05T00:00:00.000000000, bounce_rate]",-9572.409,1733.184,-13005.696,-6402.96,37.018,26.203,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-02-05T00:00:00.000000000, session_duration]",9047.737,1856.799,5627.905,12625.545,37.661,27.538,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-02-05T00:00:00.000000000, pages_per_session]",9312.847,1488.197,6380.102,12128.296,26.834,19.389,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-02-05T00:00:00.000000000, nps_score]",3862.929,950.776,2153.94,5679.759,17.91,12.943,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-02-05T00:00:00.000000000, conversion_rate]",1647.648,753.486,229.008,3071.026,14.202,11.321,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-02-12T00:00:00.000000000, bounce_rate]",-11617.128,2103.402,-15783.784,-7770.667,44.926,31.8,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-02-12T00:00:00.000000000, session_duration]",6118.144,1255.581,3805.629,8537.482,25.467,18.621,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-02-12T00:00:00.000000000, pages_per_session]",10953.02,1750.297,7503.762,14264.325,31.56,22.804,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-02-12T00:00:00.000000000, nps_score]",5232.512,1287.87,2917.61,7693.492,24.26,17.532,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-02-12T00:00:00.000000000, conversion_rate]",2462.89,1126.304,342.319,4590.544,21.229,16.923,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-02-19T00:00:00.000000000, bounce_rate]",-12502.738,2263.751,-16987.032,-8363.05,48.35,34.225,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-02-19T00:00:00.000000000, session_duration]",4749.951,974.797,2954.581,6628.256,19.772,14.457,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-02-19T00:00:00.000000000, pages_per_session]",9646.442,1541.505,6608.643,12562.743,27.795,20.083,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-02-19T00:00:00.000000000, nps_score]",4178.986,1028.567,2330.172,6144.467,19.375,14.002,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-02-19T00:00:00.000000000, conversion_rate]",2686.009,1228.338,373.331,5006.412,23.152,18.456,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-02-26T00:00:00.000000000, bounce_rate]",-10142.846,1836.468,-13780.73,-6784.524,39.224,27.765,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-02-26T00:00:00.000000000, session_duration]",6820.794,1399.78,4242.694,9517.987,28.392,20.76,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-02-26T00:00:00.000000000, pages_per_session]",7617.075,1217.212,5218.352,9919.86,21.948,15.858,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-02-26T00:00:00.000000000, nps_score]",5419.806,1333.968,3022.043,7968.874,25.128,18.16,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-02-26T00:00:00.000000000, conversion_rate]",3381.11,1546.215,469.943,6302.002,29.144,23.232,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-03-05T00:00:00.000000000, bounce_rate]",-8889.968,1609.621,-12078.487,-5946.477,34.379,24.335,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-03-05T00:00:00.000000000, session_duration]",3879.907,796.244,2413.393,5414.164,16.15,11.809,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-03-05T00:00:00.000000000, pages_per_session]",7783.872,1243.866,5332.623,10137.084,22.429,16.206,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-03-05T00:00:00.000000000, nps_score]",5618.805,1382.947,3133.004,8261.468,26.051,18.827,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-03-05T00:00:00.000000000, conversion_rate]",3715.789,1699.267,516.46,6925.804,32.028,25.531,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-03-12T00:00:00.000000000, bounce_rate]",-11062.319,2002.948,-15029.984,-7399.557,42.78,30.282,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-03-12T00:00:00.000000000, session_duration]",7670.671,1574.194,4771.338,10703.936,31.929,23.347,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-03-12T00:00:00.000000000, pages_per_session]",7533.676,1203.885,5161.217,9811.249,21.708,15.685,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-03-12T00:00:00.000000000, nps_score]",5735.864,1411.759,3198.275,8433.582,26.594,19.219,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-03-12T00:00:00.000000000, conversion_rate]",3578.485,1636.476,497.376,6669.885,30.845,24.588,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-03-19T00:00:00.000000000, bounce_rate]",-10176.708,1842.599,-13826.736,-6807.174,39.355,27.857,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-03-19T00:00:00.000000000, session_duration]",6842.172,1404.168,4255.992,9547.818,28.481,20.825,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-03-19T00:00:00.000000000, pages_per_session]",11898.205,1901.338,8151.295,15495.256,34.284,24.771,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-03-19T00:00:00.000000000, nps_score]",3418.106,841.293,1905.911,5025.726,15.848,11.453,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-03-19T00:00:00.000000000, conversion_rate]",2934.873,1342.146,407.92,5470.265,25.297,20.166,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-03-26T00:00:00.000000000, bounce_rate]",-11692.665,2117.079,-15886.414,-7821.194,45.218,32.007,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-03-26T00:00:00.000000000, session_duration]",9251.03,1898.519,5754.358,12909.227,38.507,28.157,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-03-26T00:00:00.000000000, pages_per_session]",8367.663,1337.156,5732.569,10897.365,24.111,17.421,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-03-26T00:00:00.000000000, nps_score]",3663.929,901.797,2042.98,5387.165,16.987,12.277,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-03-26T00:00:00.000000000, conversion_rate]",3295.296,1506.971,458.016,6142.052,28.404,22.642,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-04-02T00:00:00.000000000, bounce_rate]",-8405.487,1521.901,-11420.24,-5622.409,32.506,23.009,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-04-02T00:00:00.000000000, session_duration]",8307.574,1704.901,5167.506,11592.694,34.58,25.285,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-04-02T00:00:00.000000000, pages_per_session]",5476.51,875.149,3751.881,7132.162,15.78,11.402,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-04-02T00:00:00.000000000, nps_score]",3921.458,965.182,2186.576,5765.816,18.181,13.14,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-04-02T00:00:00.000000000, conversion_rate]",2308.423,1055.665,320.85,4302.636,19.898,15.861,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-04-09T00:00:00.000000000, bounce_rate]",-12898.658,2335.436,-17524.955,-8627.88,49.882,35.308,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-04-09T00:00:00.000000000, session_duration]",5014.555,1029.099,3119.171,6997.493,20.873,15.263,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-04-09T00:00:00.000000000, pages_per_session]",10619.426,1696.989,7275.221,13829.878,30.599,22.109,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-04-09T00:00:00.000000000, nps_score]",4576.985,1126.526,2552.093,6729.654,21.221,15.336,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-04-09T00:00:00.000000000, conversion_rate]",2857.639,1306.827,397.186,5326.311,24.632,19.635,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-04-16T00:00:00.000000000, bounce_rate]",-10398.111,1882.686,-14127.548,-6955.27,40.211,28.463,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-04-16T00:00:00.000000000, session_duration]",5907.591,1212.37,3674.66,8243.669,24.59,17.981,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-04-16T00:00:00.000000000, pages_per_session]",13093.585,2092.36,8970.233,17052.023,37.728,27.26,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-04-16T00:00:00.000000000, nps_score]",5033.513,1238.89,2806.649,7400.898,23.337,16.866,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-04-16T00:00:00.000000000, conversion_rate]",1930.837,882.991,268.369,3598.859,16.643,13.267,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-04-23T00:00:00.000000000, bounce_rate]",-13797.293,2498.143,-18745.898,-9228.974,53.357,37.768,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-04-23T00:00:00.000000000, session_duration]",8100.651,1662.436,5038.795,11303.946,33.719,24.656,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-04-23T00:00:00.000000000, pages_per_session]",11453.412,1830.26,7846.573,14915.995,33.002,23.845,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-04-23T00:00:00.000000000, nps_score]",5911.451,1454.976,3296.181,8691.753,27.408,19.807,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-04-23T00:00:00.000000000, conversion_rate]",2788.987,1275.431,387.644,5198.352,24.04,19.163,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-04-30T00:00:00.000000000, bounce_rate]",-11143.065,2017.568,-15139.692,-7453.568,43.092,30.503,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-04-30T00:00:00.000000000, session_duration]",8627.034,1770.461,5366.218,12038.48,35.91,26.258,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-04-30T00:00:00.000000000, pages_per_session]",8395.462,1341.598,5751.614,10933.569,24.191,17.479,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-04-30T00:00:00.000000000, nps_score]",3722.458,916.203,2075.615,5473.222,17.259,12.473,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-04-30T00:00:00.000000000, conversion_rate]",2806.15,1283.28,390.029,5230.341,24.188,19.281,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-05-07T00:00:00.000000000, bounce_rate]",-11669.222,2112.834,-15854.563,-7805.513,45.127,31.943,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-05-07T00:00:00.000000000, session_duration]",9232.879,1894.794,5743.068,12883.898,38.432,28.102,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-05-07T00:00:00.000000000, pages_per_session]",6199.298,990.65,4247.053,8073.463,17.863,12.907,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-05-07T00:00:00.000000000, nps_score]",2668.932,656.9,1488.177,3924.197,12.374,8.943,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-05-07T00:00:00.000000000, conversion_rate]",3930.326,1797.377,546.279,7325.677,33.878,27.005,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-05-14T00:00:00.000000000, bounce_rate]",-11361.863,2057.184,-15436.965,-7599.922,43.938,31.102,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-05-14T00:00:00.000000000, session_duration]",9219.972,1892.145,5735.039,12865.887,38.378,28.062,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-05-14T00:00:00.000000000, pages_per_session]",9424.045,1505.966,6456.282,12273.112,27.155,19.62,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-05-14T00:00:00.000000000, nps_score]",7948.268,1956.294,4431.895,11686.535,36.851,26.632,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-05-14T00:00:00.000000000, conversion_rate]",2591.613,1185.17,360.21,4830.468,22.338,17.807,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-05-21T00:00:00.000000000, bounce_rate]",-10286.107,1862.407,-13975.373,-6880.351,39.778,28.157,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-05-21T00:00:00.000000000, session_duration]",7116.053,1460.374,4426.352,9930.001,29.621,21.659,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-05-21T00:00:00.000000000, pages_per_session]",9368.446,1497.082,6418.192,12200.704,26.994,19.505,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-05-21T00:00:00.000000000, nps_score]",3324.46,818.244,1853.694,4888.035,15.413,11.139,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-05-21T00:00:00.000000000, conversion_rate]",2806.15,1283.28,390.029,5230.341,24.188,19.281,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-05-28T00:00:00.000000000, bounce_rate]",-16873.487,3055.121,-22925.415,-11286.633,65.253,46.189,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-05-28T00:00:00.000000000, session_duration]",7845.729,1610.12,4880.228,10948.218,32.658,23.88,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-05-28T00:00:00.000000000, pages_per_session]",7561.476,1208.327,5180.262,9847.453,21.788,15.743,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-05-28T00:00:00.000000000, nps_score]",6087.039,1498.193,3394.088,8949.923,28.222,20.396,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-05-28T00:00:00.000000000, conversion_rate]",2909.128,1330.373,404.342,5422.281,25.075,19.989,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-06-04T00:00:00.000000000, bounce_rate]",-10687.236,1935.035,-14520.373,-7148.666,41.33,29.255,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-06-04T00:00:00.000000000, session_duration]",9355.903,1920.042,5819.592,13055.571,38.944,28.476,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-06-04T00:00:00.000000000, pages_per_session]",10953.02,1750.297,7503.762,14264.325,31.56,22.804,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-06-04T00:00:00.000000000, nps_score]",4963.278,1221.604,2767.487,7297.63,23.012,16.63,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-06-04T00:00:00.000000000, conversion_rate]",2437.146,1114.531,338.741,4542.56,21.007,16.746,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-06-11T00:00:00.000000000, bounce_rate]",-13854.597,2508.519,-18823.755,-9267.305,53.578,37.925,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-06-11T00:00:00.000000000, session_duration]",6771.181,1389.599,4211.834,9448.755,28.185,20.609,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-06-11T00:00:00.000000000, pages_per_session]",13844.173,2212.305,9484.45,18029.527,39.891,28.823,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-06-11T00:00:00.000000000, nps_score]",5267.63,1296.513,2937.191,7745.126,24.423,17.65,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-06-11T00:00:00.000000000, conversion_rate]",2196.864,1004.647,305.344,4094.702,18.936,15.095,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-06-18T00:00:00.000000000, bounce_rate]",-9442.172,1709.604,-12828.748,-6315.845,36.515,25.847,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-06-18T00:00:00.000000000, session_duration]",7873.157,1615.749,4897.289,10986.492,32.772,23.963,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-06-18T00:00:00.000000000, pages_per_session]",10230.232,1634.795,7008.59,13323.024,29.478,21.299,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-06-18T00:00:00.000000000, nps_score]",4916.455,1210.079,2741.379,7228.784,22.795,16.473,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-06-18T00:00:00.000000000, conversion_rate]",3638.555,1663.947,505.726,6781.849,31.363,25.001,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-06-25T00:00:00.000000000, bounce_rate]",-12497.529,2262.808,-16979.954,-8359.565,48.33,34.21,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-06-25T00:00:00.000000000, session_duration]",6732.862,1381.735,4187.998,9395.283,28.026,20.492,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-06-25T00:00:00.000000000, pages_per_session]",10091.234,1612.583,6913.364,13142.005,29.077,21.009,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-06-25T00:00:00.000000000, nps_score]",4377.986,1077.546,2441.132,6437.06,20.298,14.669,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-06-25T00:00:00.000000000, conversion_rate]",2076.723,949.706,288.645,3870.773,17.9,14.269,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-07-02T00:00:00.000000000, bounce_rate]",-12718.931,2302.895,-17280.766,-8507.661,49.187,34.816,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-07-02T00:00:00.000000000, session_duration]",6371.453,1307.565,3963.193,8890.959,26.521,19.392,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-07-02T00:00:00.000000000, pages_per_session]",7644.874,1221.654,5237.397,9956.064,22.028,15.916,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-07-02T00:00:00.000000000, nps_score]",5571.982,1371.423,3106.896,8192.622,25.834,18.67,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-07-02T00:00:00.000000000, conversion_rate]",1836.441,839.822,255.248,3422.915,15.829,12.618,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-07-09T00:00:00.000000000, bounce_rate]",-11671.827,2113.306,-15858.102,-7807.256,45.137,31.95,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-07-09T00:00:00.000000000, session_duration]",7338.707,1506.068,4564.848,10240.701,30.547,22.336,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-07-09T00:00:00.000000000, pages_per_session]",12843.389,2052.379,8798.827,16726.188,37.007,26.739,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-07-09T00:00:00.000000000, nps_score]",4296.045,1057.379,2395.443,6316.581,19.918,14.395,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-07-09T00:00:00.000000000, conversion_rate]",3209.481,1467.727,446.088,5982.103,27.664,22.052,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-07-16T00:00:00.000000000, bounce_rate]",-10530.952,1906.739,-14308.035,-7044.127,40.725,28.827,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-07-16T00:00:00.000000000, session_duration]",6151.219,1262.368,3826.203,8583.637,25.604,18.722,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-07-16T00:00:00.000000000, pages_per_session]",9563.043,1528.178,6551.508,12454.131,27.555,19.91,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-07-16T00:00:00.000000000, nps_score]",6555.273,1613.439,3655.171,9638.379,30.393,21.965,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-07-16T00:00:00.000000000, conversion_rate]",3544.159,1620.779,492.605,6605.905,30.549,24.352,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-07-23T00:00:00.000000000, bounce_rate]",-11171.717,2022.756,-15178.621,-7472.734,43.203,30.581,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-07-23T00:00:00.000000000, session_duration]",7049.095,1446.633,4384.703,9836.566,29.342,21.455,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-07-23T00:00:00.000000000, pages_per_session]",8451.061,1350.483,5789.705,11005.977,24.351,17.595,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-07-23T00:00:00.000000000, nps_score]",5712.452,1405.997,3185.221,8399.159,26.485,19.141,2774.916,1321.958,1.0
"control_contribution_original_scale[2023-07-23T00:00:00.000000000, conversion_rate]",2437.146,1114.531,338.741,4542.56,21.007,16.746,2817.533,1343.844,1.0
"control_contribution_original_scale[2023-07-30T00:00:00.000000000, bounce_rate]",-10879.987,1969.935,-14782.257,-7277.596,42.075,29.783,2184.209,1572.564,1.0
"control_contribution_original_scale[2023-07-30T00:00:00.000000000, session_duration]",5590.551,1147.307,3477.454,7801.259,23.271,17.016,2440.026,1349.841,1.001
"control_contribution_original_scale[2023-07-30T00:00:00.000000000, pages_per_session]",9868.838,1577.044,6761.004,12852.374,28.436,20.546,3056.213,1420.742,1.002
"control_contribution_original_scale[2023-07-30T00:00:00.000000000, nps_score]",5759.275,1417.521,3211.329,8468.005,26.702,19.297,2774.916,1321.958,1.0
